,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
323,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,20,8,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
324,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,50,2,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
325,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,1,80,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
326,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,2,70,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
327,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,5,20,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
328,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,10,18,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
329,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,20,15,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
330,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,50,18,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
331,CHO-K1,WST-1,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,100,15,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
350,SKOV-3,MTT,Ag,additional,Human,Human,epithelial,ovary,Adenocarcinoma,48,25,100.6451613,23.29,-25.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
351,SKOV-3,MTT,Ag,additional,Human,Human,epithelial,ovary,Adenocarcinoma,48,50,73.06451613,23.29,-25.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
352,SKOV-3,MTT,Ag,additional,Human,Human,epithelial,ovary,Adenocarcinoma,48,100,68.22580645,23.29,-25.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
353,SKOV-3,MTT,Ag,additional,Human,Human,epithelial,ovary,Adenocarcinoma,48,200,64.35483871,23.29,-25.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
